url,name,description
https://movie.douban.com/subject/1300870/,瓶中信,　特丽莎（罗宾?莱特?潘 饰）离婚后，儿子是她的珍宝。她是一名专栏作家，为了给儿子好的生活，她工作勤劳。一天她在海边跑步的时候，捡到了一个玻璃瓶，里面竟有一封信。特丽莎深切的感受到了写信人心痛的感觉，阴差阳错之间这封信被刊登在了报纸上。读者反应热烈，为了乘胜追击，报社派出特丽莎寻找这封信的主人。写信的人名叫盖瑞（凯文?科斯特纳 饰），自从妻子凯瑟琳离世之后，他每天都活在悲伤的阴影中，用信表达自己对妻子的爱意。特丽莎还是见到了这名伤心的男子，也没有告诉盖瑞她看过他写的那些瓶中信。 两人相处的过程中，特丽莎知道自己已经爱上她痴情的盖瑞，盖瑞也因为特丽莎的出现，生活多了许多生气。面对已经逝世的爱妻，与就在面前的特丽莎，盖瑞会如何选择
https://movie.douban.com/subject/6013501/,大而不倒,影片讲述了于2008年爆发的全球金融危机，以美国财政部长汉克·保尔森（威廉·赫特 William Hurt饰）为主要线索，记录了在几周之内决定全球最大经济体命运的权力人物的决策与行动。为拯救全球经济，摆脱金融困境，不仅保尔森倾尽全力，美联储主席本·伯南克（保罗·吉亚玛提 Paul Giamatti饰）、纽约联邦储备银行行长蒂姆·盖特纳等人也动用了自己的私人关系和渠道。除此之外，沃伦·巴菲特（爱德华·阿斯纳 Edward Asner饰）、投资银行家、英国监管机构以及几乎所有的国会议员都参与到了这场没有硝烟的金融大战中。?本片根据《纽约时报》首席记者及专栏作家安德鲁·罗斯·索尔金的畅销书《大而不倒》改编而成。影片荣获2012年第69届金球奖电视类最佳迷你剧提名、最佳男主角提名及最佳男配角提名等多项大奖
https://movie.douban.com/subject/1292225/,闪灵,杰克（杰克?尼科尔森 Jack Nicholson 饰）是一个作家。一个冬天，他得到了一个看管山顶酒店的差事。这正合杰克的意思，他正好可以有一个幽静的地方写作。于是杰克带着妻儿搬进了酒店。?　　冬天大雪封路，山顶酒店只有杰克一家三口。从他们一搬进来，杰克的妻子温蒂（谢莉·杜瓦尔 Shelley Duvall 饰）就发现这里气氛诡异，杰克的儿子丹尼（丹尼·劳埃德 Danny Lloyd 饰）经常看到一些他不认识的人，但这里除了他们一家别无他人。而杰克除了一整天闷头写作外，脾气亦变得越来越古怪。　直到有一天，温蒂发现丈夫这些天来一直写就只有一句话：杰克发疯了
https://movie.douban.com/subject/1298204/,101忠狗,罗格于（Ben Wright 配音）和阿尼塔（Lisa Davis 配音）夫妇饲养的大麦町狗庞哥（Rod Taylor 配音）与帕蒂塔（Cate Bauer 配音）喜结良缘，共组成欢乐家庭。没过多久，帕蒂塔生育了十五只小狗。正在一家人享受小狗带来的欢乐之际，阿尼塔的女上司克鲁拉·德维尔（Betty Lou Gerson 配音）打起了坏主意。她正在为制作一件黑白斑点的大衣而发愁，于是她派人绑走了小狗，和其他八十四只大麦町幼犬一同关在乡间的空屋里。发现孩子失踪的庞哥与帕蒂塔，通过狗吠召集全市的狗类，一同找寻自己的孩子，一场小狗救援记就此展开，庞哥与帕蒂塔能否在小狗被宰杀之前营救他们逃出呢
https://movie.douban.com/subject/2132468/,罗丹岛之恋,对于混乱的生活状况，艾德里安（戴安·琳恩 Diane Lane 饰）感到无能为力，每天看着脾气像牛一样倔强的丈夫和正直叛逆期的女儿，她唯一能够想到的对策就是逃跑。就这样，内心里伤痕累累的艾德里安来到了罗丹岛，她的朋友在这里开了一家小旅馆，在帮忙照看旅馆的同时，艾德里安希望能够借助岛上如诗如画的美丽风景来平复受伤的心灵。?初来乍到，艾德里安感到一切都和沉闷的往日不同，那样的清新和美好，而随之而来的飓风预报却为她的好心情蒙上了一层阴影。一位名叫保罗（理查·基尔 Richard Gere 饰）的男子入住了旅馆，成为了艾德里安唯一的顾客。而在飓风截断了他们的去路的同时，一段真挚的感情也渐渐的在这对男女之间产生了
https://movie.douban.com/subject/1295124/,辛德勒的名单,1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。1943年，克拉科夫的犹太人遭到了惨绝人寰的大屠杀，辛德勒目睹这一切，受到了极大的震撼，他贿赂军官，让自己的工厂成为集中营的附属劳役营，在那些疯狂屠杀的日子里，他的工厂也成为了犹太人的避难所，1944年，德国战败前夕，屠杀犹太人的行动越发疯狂，辛德勒向德军军官开出了1200人的名单，倾家荡产买下了这些犹太人的生命。在那些暗无天日的岁月里，拯救一个人，就是拯救全世界
https://movie.douban.com/subject/1293324/,大地惊雷?,十四岁女孩玛蒂·罗斯（金·达比 Kim Darby 饰）的父亲被流浪汉汤姆·钱尼（杰夫·科里 Jeff Corey 饰）所杀，假小子罗斯发誓要为父报仇。然而狡猾的钱尼已藏身印第安人部落。嗜酒如命的独眼法警鲁本·科格本（约翰·韦恩 John Wayne 饰）是西部远近闻名 的法警之一，罗斯慕名找到他，雇佣鲁本前往追杀凶手钱尼。与此同时，来自德克萨斯州的年轻人贝夫（格伦·坎贝尔 Glen Campbell 饰）也在追捕钱尼落案。鲁本被德克萨斯政府高额的悬赏所吸引，也希望借贝夫的力量一举歼灭强盗派普（罗伯特·杜瓦尔 Robert Duvall 饰）一伙。鲁本和贝夫商量甩掉碍手碍脚的罗斯，然而倔强的罗斯一路追随他们。经过一番激烈的争斗，机智勇敢的鲁本警长单枪匹马勇斗匪徒，押解着四名逃犯凯旋而归。?
https://movie.douban.com/subject/3077791/,在云端?,片改编自美国作家沃尔特?肯的同名小说。瑞恩?布林厄姆（乔治?克鲁尼 George Clooney 饰）供职于美国内布拉斯加州奥马哈市一家专为其他公司提供裁员服务的公司，一年有300多天辗转于全国各地解雇他人，几乎以机场为家。在一次例行裁员旅行中，瑞恩遇到了商务美女亚历克斯（维拉?法梅加 Vera Farmiga 饰），二人一见钟情，却都满足于维系随意的性伴侣关系。与此同时，瑞恩公司的大学生新人娜塔莉（安娜?肯德里克 Anna Kendrick 饰）得到了公司总裁的青睐，竭力推广通过网络视频会议远程裁员的改革。瑞恩反对变革，却不得不带娜塔莉四处实习熟悉业务
https://movie.douban.com/subject/1292718/,大河恋,两兄弟经常跟父亲一起钓鱼。潺潺河水，静静午后，成了父子间最难忘的时刻。父亲是一个老牧师，常常在镇上布道，大儿子诺曼（克莱格?谢佛 Craig Sheffer 饰）正是继承了父亲的事业——他擅长讲课，大学毕业后回到家乡传道授业。小儿子保罗（布拉德?皮特 Brad Pitt 饰）却有着迥异的性格——他热爱自由，有一套奇特的钓鱼方法。然而，令人担心的是他迷上了赌博，并因此欠钱遭打。诺曼结婚后收到一封芝加哥大学的聘用书，他离家前往芝加哥之前，和父亲、弟弟一同在大河边再次享受钓鱼时光。他劝保罗跟他一起离开这里，然而保罗痴迷钓鱼，不愿离去。怎料，这竟是最后的相聚
https://movie.douban.com/subject/1951107/,超级礼物,杰森（德鲁·傅勒 Drew Fuller 饰）与爷爷霍华德·史蒂文斯（詹姆斯·加纳 James Garner 饰）之间似乎从未有过所谓祖孙情深的桥段，杰森唯一知道的就是向爷爷要钱。当爷爷去世后，杰森满心以为可以继承一大笔财产，前途无忧之时，他发现爷爷竟在他和这笔财产之间设置了十二道障碍，他必须依次完成遗嘱上的十二个有关“礼物”的任务后，方能得到这笔最终的超级礼物。为了获得遗产，杰森只好着手完成第一个任务，没想到得到的礼物竟是让他尝尝破产的滋味，而这仅仅是开始，对于几乎没有过正式工作的富二代杰森来说，遗嘱上的每一个任务都是一次艰难挑战，他不知道在这条发现之旅上他还会遇到什么，也不知道爷爷到底在卖什么药，然而他的人生却因为这份遗嘱正悄悄地被改写……?
https://movie.douban.com/subject/1927369/,天使与魔鬼,本片根据美国畅销作家丹?布朗的同名小说改编。欧洲核子中心的科学家维多利亚?维特勒（阿耶莱特?祖瑞尔 Ayelet Zurer 饰）与父亲在高速粒子对撞机实验中收集到了反物质，却发现父亲遇害，尸体胸口被烙“光照派”符号，高爆炸性的反物质被偷走，出现在正待选新教皇的罗马梵蒂冈，威胁天主教廷及整个罗马的安危。于此同时，四位主要教皇候选人的红衣主教神秘失踪。在教皇内侍（伊万?麦克格雷格 Ewan McGregor 饰）的授意下，哈佛大学的符号学专家罗伯特?兰登教授和维多利亚都被请到梵蒂冈协助罗马警察开展搜寻行动。兰登说服罗马总探员奥利维迪（皮耶法兰西斯柯?法维诺Pierfrancesco Favino 饰）依照“土、气、火、水”的提示在罗马的名胜教堂间与“光照派”展开了时间战
